campaignId,campaignName,Budget,market,total_clicks_3d,total_order_3d,total_impressions_3d,total_clicks_7d,total_order_7d,total_impressions_7d,total_order_30d,total_impressions_30d,total_clicks_30d,ACOS_30d,ACOS_7d
83783048486716,B10 (MANU - New),7.0,IT,3.0,0.0,3101.0,5.0,0.0,4603.0,0.0,14831.0,18.0,,
273060424397289,M39 - Broad,28.0,IT,3.0,0.0,4816.0,7.0,0.0,11097.0,2.0,41018.0,35.0,0.311432,
105642478698056,M29 - Phrase,28.0,IT,2.0,0.0,3270.0,2.0,0.0,5872.0,0.0,18065.0,15.0,,
153630823947693,L17/L41/L44(MAN),50.0,IT,5.0,0.0,2126.0,8.0,0.0,4689.0,5.0,19173.0,45.0,0.045472,
415841751957867,DeepBI_new_summer_M131R1_Manu_overstock,5.0,IT,9.0,0.0,44393.0,19.0,0.0,101555.0,12.0,959685.0,296.0,0.295255,
445911861897109,DeepBI_new_summer_L01A1_overstock,10.0,IT,12.0,0.0,10530.0,38.0,0.0,20729.0,2.0,67816.0,86.0,0.75415,
496000823193537,DeepBI_new_summer_L02A1_overstock,9.6,IT,54.0,2.0,29222.0,104.0,8.0,68665.0,12.0,145297.0,236.0,0.327864,0.227522
559831873629770,DeepBI_new_summer_M05R3/M06R3_overstock,5.0,IT,2.0,0.0,5832.0,6.0,0.0,13399.0,0.0,123388.0,66.0,,
347181799091852,DeepBI_0502_L02 Manu_overstock,17.4,IT,26.0,1.0,14270.0,80.0,6.0,34123.0,52.0,289620.0,578.0,0.198215,0.255951
423075279782135,DeepBI_0502_L17 L41 L44 manu,3.0,IT,0.0,0.0,3138.0,0.0,0.0,6805.0,0.0,16768.0,3.0,,
480800603845212,DeepBI_0502_K01 manu,120.0,IT,264.0,17.0,186979.0,540.0,37.0,371003.0,201.0,2039164.0,2736.0,0.189149,0.248512
341120602169401,DeepBI_0502_M38 M39 manu_overstock,10.0,IT,21.0,3.0,12135.0,49.0,3.0,26683.0,16.0,98993.0,253.0,0.27652,0.307617
468074362435847,M92/M93 - Exact/Phrase（mz_overstock,9.6,IT,23.0,2.0,20698.0,69.0,7.0,52691.0,29.0,323087.0,542.0,0.240825,0.13431
436000448211026,DeepBI_0502_BR:Lounge - M92 - Broad,9.6,IT,56.0,5.0,37872.0,130.0,13.0,83097.0,38.0,332621.0,557.0,0.289929,0.197002
437418339874760,DeepBI_0502_G11_manu,5.0,IT,0.0,0.0,833.0,2.0,0.0,1997.0,2.0,32403.0,54.0,0.27502,
540943190583757,DeepBI_0502_M36-Manuel_overstock,5.0,IT,33.0,0.0,45719.0,44.0,0.0,54287.0,0.0,54287.0,44.0,,
333154569039733,DeepBI_0502_L59 - Manual_overstock,5.0,IT,7.0,0.0,2555.0,8.0,0.0,3169.0,0.0,3169.0,8.0,,
478084776049107,DeepBI_0502_summer_L52B1 - Manual_overstock,5.0,IT,0.0,0.0,50.0,0.0,0.0,50.0,0.0,50.0,0.0,,
403528687815839,DeepBI_0502_M134-Manuel_overstock,6.0,IT,45.0,2.0,110227.0,60.0,3.0,130015.0,3.0,130015.0,60.0,0.350423,0.350423
455747617833756,DeepBI_new_L54-Manuel_overstock,5.0,IT,45.0,0.0,84391.0,55.0,0.0,103051.0,0.0,103051.0,55.0,,
315700620738502,DeepBI_0502_summer_L52A1 - Manual_overstock,5.0,IT,30.0,4.0,14927.0,38.0,5.0,18711.0,5.0,18711.0,38.0,0.15029,0.15029
494582555604902,DeepBI_0502_L100 - Manual_overstock,7.2,IT,44.0,0.0,38614.0,56.0,2.0,48838.0,2.0,48838.0,56.0,0.563232,0.563232
524743456039785,DeepBI_0502_G19-Manuel_overstock,5.0,IT,30.0,0.0,35582.0,36.0,0.0,45523.0,0.0,45523.0,36.0,,
471743969427754,DeepBI_0502_M35 manu_overstock,5.0,IT,28.0,1.0,26806.0,38.0,1.0,35495.0,1.0,35495.0,38.0,0.698396,0.698396
