market,SUM(sales1d),SUM(cost),avg_acos,campaignId,campaignName,adGroupId,adGroupName,advertisedSku,new_campaignName,new_adGroupName
IT,107.36,37.75,0.351621,480800603845212,DeepBI_0502_K01 manu,283461118972816,DeepBI_0502_K01 manu,LPK17SS00010MUT004R4Y20V1,DeepBI_0502_K01 manu,DeepBI_0502_K01 manu
IT,106.52,0.21,0.001971,27909110704507,B03 (AUTO),82498267797017,Ad group 1,LPB18SS0003HWSP00LA2,DeepBI_0502_B03 (AUTO),DeepBI_0502_Ad group 1
IT,100.76,27.01,0.268063,396897728935839,DeepBI_new_L52(AUTO)_overstock,498944120145421,DeepBI_new_L52(AUT),LPL19SS0052DHGY00LB1,DeepBI_0502_DeepBI_new_L52(AUTO)_overstock,DeepBI_0502_DeepBI_new_L52(AUT)
IT,88.41,4.37,0.049429,480800603845212,DeepBI_0502_K01 manu,283461118972816,DeepBI_0502_K01 manu,LPK17SS00010WHI012R4,DeepBI_0502_K01 manu,DeepBI_0502_K01 manu
IT,86.04,2.81,0.032659,358940501120494,DeepBI_0502_m35 auto_overstock,342987933535482,DeepBI_0502_m35 auto,LPM17SS00350WHIXXLR4V3,DeepBI_0502_m35 auto_overstock,DeepBI_0502_m35 auto
IT,57.34,4.12,0.071852,196272310041065,L52(AUTO)_overstock,199121655715959,L52(AUT),LPL19SS0052BURY0XLA1,DeepBI_0502_L52(AUTO)_overstock,DeepBI_0502_L52(AUT)
IT,55.58,2.94,0.052897,340145720573409,DeepBI_0502_M19 auto_overstock,514469629011172,DeepBI_0502_M19 auto,LPM17SS0019HGRY00LR1-23V1,DeepBI_0502_M19 auto_overstock,DeepBI_0502_M19 auto
IT,52.44,1.6,0.030511,279711333416950,B14 - AUTO_overstock,27403462845522,B14 - AUTO,LPB22SS0014MT010XSR4,DeepBI_0502_B14 - AUTO_overstock,DeepBI_0502_B14 - AUTO
IT,49.16,0.39,0.007933,468074362435847,M92/M93 - Exact/Phrase（mz_overstock,550258316145487,M92/M93 - Exact/Phrase（mz,LPM21SS0092MT032XLR2,DeepBI_0502_M92/M93 - Exact/Phrase（mz_overstock,DeepBI_0502_M92/M93 - Exact/Phrase（mz
IT,49.16,0.69,0.014036,218738270687967,M92(AUT),174430062759679,M92(AUT),LPM21SS0092MT0500MR2,DeepBI_0502_M92(AUT),DeepBI_0502_M92(AUT)
IT,47.52,0.34,0.007155,59205171456120,All Leggings - AUTO (L01/L09/L52/L02)_overstock,221311532161651,All Leggings - AUTO (L01/L09/L82/L52/L02),LPL16SS0001BURY0XLA1,DeepBI_0502_All Leggings - AUTO (L01/L09/L52/L02)_overstock,DeepBI_0502_All Leggings - AUTO (L01/L09/L82/L52/L02)
IT,44.24,0.4,0.009042,347181799091852,DeepBI_0502_L02 Manu_overstock,465427839359222,DeepBI_0502_L02 Manu,LPL16SS0002STBL00SB1,DeepBI_0502_L02 Manu_overstock,DeepBI_0502_L02 Manu
IT,41.78,1.38,0.03303,315700620738502,DeepBI_0502_summer_L52A1 - Manual_overstock,362831886164607,DeepBI_0502_summer_L52A1 - Manual_overstock,LPL19SS0052BURY0XLA1,DeepBI_0502_summer_L52A1 - Manual_overstock,DeepBI_0502_summer_L52A1 - Manual_overstock
IT,40.96,0.33,0.008057,273060424397289,M39 - Broad,90884687362210,M39 - Broad,LPM17AW0039BKWH0XSR1,DeepBI_0502_M39 - Broad,DeepBI_0502_M39 - Broad
IT,40.04,0.39,0.00974,282756947794209,K01_AUTO,338416200453899,K01 (AUTO),LPK17SS0001MT1000MR4,DeepBI_0502_K01_AUTO,DeepBI_0502_K01 (AUTO)
IT,34.42,0.9,0.026148,192621240618974,M79/M129 (MAN),191320130722382,Manual,LPM20AW0079HGNR00LR2,DeepBI_0502_M79/M129 (MAN),DeepBI_0502_Manual
IT,34.42,0.33,0.009587,370419658737641,DeepBI_0502_M100 - auto,502326064737527,DeepBI_0502_M100 - auto,LPM21AW0100HDHG00MR2,DeepBI_0502_M100 - auto,DeepBI_0502_M100 - auto
IT,33.59,0.69,0.020542,340145720573409,DeepBI_0502_M19 auto_overstock,514469629011172,DeepBI_0502_M19 auto,LPM17SS0019BURY00SR1-23V1,DeepBI_0502_M19 auto_overstock,DeepBI_0502_M19 auto
IT,28.68,0.53,0.01848,388550184128746,L17/L41/L44,362546247226020,L17/L41/L44 (AUTO),LPL17AW00170BLK00SR2-19Y,DeepBI_0502_L17/L41/L44,DeepBI_0502_L17/L41/L44 (AUTO)
IT,28.68,0.11,0.003835,388550184128746,L17/L41/L44,362546247226020,L17/L41/L44 (AUTO),LPL17AW0017PNK20XLR2,DeepBI_0502_L17/L41/L44,DeepBI_0502_L17/L41/L44 (AUTO)
IT,28.68,1.33,0.046374,471743969427754,DeepBI_0502_M35 manu_overstock,550053892571216,DeepBI_0502_M35 manu_overstock,LPM17SS00350BLK00SR4V2,DeepBI_0502_M35 manu_overstock,DeepBI_0502_M35 manu_overstock
IT,28.68,0.37,0.012901,471743969427754,DeepBI_0502_M35 manu_overstock,550053892571216,DeepBI_0502_M35 manu_overstock,LPM17SS00350WHI00LR4,DeepBI_0502_M35 manu_overstock,DeepBI_0502_M35 manu_overstock
IT,24.58,3.04,0.123678,436000448211026,DeepBI_0502_BR:Lounge - M92 - Broad,452888953830197,DeepBI_0502_BR:Lounge - M92 - Broad,LPM21SS0092MT0200SR2,DeepBI_0502_BR:Lounge - M92 - Broad,DeepBI_0502_BR:Lounge - M92 - Broad
IT,24.58,0.49,0.019935,218738270687967,M92(AUT),174430062759679,M92(AUT),LPM21SS0092MT0200SR2,DeepBI_0502_M92(AUT),DeepBI_0502_M92(AUT)
IT,24.58,4.43,0.180228,436000448211026,DeepBI_0502_BR:Lounge - M92 - Broad,452888953830197,DeepBI_0502_BR:Lounge - M92 - Broad,LPM21SS0092MT032XLR2,DeepBI_0502_BR:Lounge - M92 - Broad,DeepBI_0502_BR:Lounge - M92 - Broad
IT,24.58,0.3,0.012205,218738270687967,M92(AUT),174430062759679,M92(AUT),LPM21SS0092MT042XLR2,DeepBI_0502_M92(AUT),DeepBI_0502_M92(AUT)
IT,22.12,0.77,0.03481,347181799091852,DeepBI_0502_L02 Manu_overstock,465427839359222,DeepBI_0502_L02 Manu,LPL16SS00020PUR2XLB1,DeepBI_0502_L02 Manu_overstock,DeepBI_0502_L02 Manu
IT,21.3,0.73,0.034272,59205171456120,All Leggings - AUTO (L01/L09/L52/L02)_overstock,221311532161651,All Leggings - AUTO (L01/L09/L82/L52/L02),LPL19SS0052BURY0XLA1,DeepBI_0502_All Leggings - AUTO (L01/L09/L52/L02)_overstock,DeepBI_0502_All Leggings - AUTO (L01/L09/L82/L52/L02)
IT,20.48,2.13,0.104004,196272310041065,L52(AUTO)_overstock,199121655715959,L52(AUT),LPL19SS0052DHGY00LB1,DeepBI_0502_L52(AUTO)_overstock,DeepBI_0502_L52(AUT)
