market,SUM(sales1d),SUM(cost),avg_acos,campaignId,campaignName,adGroupId,adGroupName,advertisedSku,new_campaignName,new_adGroupName
FR,513.35,61.83,0.120444,266649249856686,M36-Manuel_overstock,56337470668458,M36-Large,LPM17SS0036MUT100MR4V2,DeepBI_0502_M36-Manuel_overstock,DeepBI_0502_M36-Large
FR,317.54,23.27,0.073282,266649249856686,M36-Manuel_overstock,56337470668458,M36-Large,LPM17SS0036MUT10XLR4V4,DeepBI_0502_M36-Manuel_overstock,DeepBI_0502_M36-Large
FR,204.71,23.2,0.113331,403100467861727,DeepBI_0502_m35 auto_overstock,306913253726907,DeepBI_0502_m35 auto,LPM17SS0035MT0300LR4,DeepBI_0502_m35 auto_overstock,DeepBI_0502_m35 auto
FR,199.18,19.79,0.099357,13785940172647,M35-Auto_overstock,160887290533579,Ad group 1,LPM17SS00350BLK0XLR4,DeepBI_0502_M35-Auto_overstock,DeepBI_0502_Ad group 1
FR,186.46,20.44,0.109621,266649249856686,M36-Manuel_overstock,56337470668458,M36-Large,LPM17SS00360WHI00SR4,DeepBI_0502_M36-Manuel_overstock,DeepBI_0502_M36-Large
FR,180.66,31.12,0.172257,266649249856686,M36-Manuel_overstock,56337470668458,M36-Large,LPM17SS00360BLK00MR4V2,DeepBI_0502_M36-Manuel_overstock,DeepBI_0502_M36-Large
FR,175.77,2.2,0.012516,397618483934436,DeepBI_0502_K01 auto,303743200581063,DeepBI_0502_K01 auto,LPK17SS0001MUT1008R4,DeepBI_0502_K01 auto,DeepBI_0502_K01 auto
FR,139.19,3.84,0.027588,358912452756123,DeepBI_0502_M19 manu 2_overstock,401945033887736,DeepBI_0502_M19 manu 2,LPM17SS00190WHI00LA1-22V1,DeepBI_0502_M19 manu 2_overstock,DeepBI_0502_M19 manu 2
FR,123.29,4.3,0.034877,331681360709372,DeepBI_0502_K01 manu,282509148388744,DeepBI_0502_K01 manu,LPK17SS00010MUT004R4Y20V1,DeepBI_0502_K01 manu,DeepBI_0502_K01 manu
FR,121.39,8.17,0.067304,403100467861727,DeepBI_0502_m35 auto_overstock,306913253726907,DeepBI_0502_m35 auto,LPM17SS00350BLK00MR4V2,DeepBI_0502_m35 auto_overstock,DeepBI_0502_m35 auto
FR,120.8,5.16,0.042715,397618483934436,DeepBI_0502_K01 auto,303743200581063,DeepBI_0502_K01 auto,LPK17SS00010WHI010R4,DeepBI_0502_K01 auto,DeepBI_0502_K01 auto
FR,107.73,8.48,0.078715,394390985152618,DeepBI_0502_M92 M93 manu_overstock,551830018868694,DeepBI_0502_M92 M93 manu_overstock,LPM21SS0093MT0300SR2,DeepBI_0502_M92 M93 manu_overstock,DeepBI_0502_M92 M93 manu_overstock
FR,107.15,10.23,0.095474,534180651779857,DeepBI_0502_M35 manu_overstock,304183250773689,DeepBI_0502_M35 manu_overstock,LPM17SS00350WHI0XLR4V2,DeepBI_0502_M35 manu_overstock,DeepBI_0502_M35 manu_overstock
FR,104.95,4.89,0.046594,549410556087868,DeepBI_0502_BR:Lounge - M92 - Broad,332447225169499,DeepBI_0502_BR:Lounge - M92 - Broad,LPM21SS0092MT0300LR2,DeepBI_0502_BR:Lounge - M92 - Broad,DeepBI_0502_BR:Lounge - M92 - Broad
FR,99.96,9.04,0.090436,331681360709372,DeepBI_0502_K01 manu,282509148388744,DeepBI_0502_K01 manu,LPK17SS0001MUT1008R4,DeepBI_0502_K01 manu,DeepBI_0502_K01 manu
FR,94.19,4.94,0.052447,13785940172647,M35-Auto_overstock,160887290533579,Ad group 1,LPM17SS00350BLKXXLR4V3,DeepBI_0502_M35-Auto_overstock,DeepBI_0502_Ad group 1
FR,91.21,6.9,0.07565,370013367149998,DeepBI_new_summer_L52B1_Auto_overstock,319243702674562,DeepBI_new_summer_L52B1_Auto,LPL19SS00520BLK00LB1,DeepBI_0502_DeepBI_new_summer_L52B1_Auto_overstock,DeepBI_0502_DeepBI_new_summer_L52B1_Auto
FR,89.96,0.6,0.00667,549410556087868,DeepBI_0502_BR:Lounge - M92 - Broad,332447225169499,DeepBI_0502_BR:Lounge - M92 - Broad,LPM21SS0092MT0400SR2,DeepBI_0502_BR:Lounge - M92 - Broad,DeepBI_0502_BR:Lounge - M92 - Broad
FR,82.24,4.93,0.059946,292867919199992,DeepBI_0502_L02 auto1_overstock,454168625952474,DeepBI_0502_L02 auto1,LPL16SS00020BLK00SA1,DeepBI_0502_L02 auto1_overstock,DeepBI_0502_L02 auto1
FR,75.88,8.04,0.105957,370475500006660,DeepBI_0502_M36 auto_overstock,516468538668241,DeepBI_0502_M36 auto,LPM17SS0036MUT100LR4V5,DeepBI_0502_M36 auto_overstock,DeepBI_0502_M36 auto
FR,74.97,2.56,0.034147,331681360709372,DeepBI_0502_K01 manu,282509148388744,DeepBI_0502_K01 manu,LPK17SS0001MUT3012R4V2,DeepBI_0502_K01 manu,DeepBI_0502_K01 manu
FR,73.32,2.23,0.030415,394390985152618,DeepBI_0502_M92 M93 manu_overstock,551830018868694,DeepBI_0502_M92 M93 manu_overstock,LPM21SS0093MT0100SR2,DeepBI_0502_M92 M93 manu_overstock,DeepBI_0502_M92 M93 manu_overstock
FR,71.03,3.52,0.049557,266649249856686,M36-Manuel_overstock,56337470668458,M36-Large,LPM17SS00360BLK00LR4V3,DeepBI_0502_M36-Manuel_overstock,DeepBI_0502_M36-Large
FR,70.27,5.82,0.082823,370013367149998,DeepBI_new_summer_L52B1_Auto_overstock,319243702674562,DeepBI_new_summer_L52B1_Auto,LPL19SS00520PUR2XLB1,DeepBI_0502_DeepBI_new_summer_L52B1_Auto_overstock,DeepBI_0502_DeepBI_new_summer_L52B1_Auto
FR,69.2,2.54,0.036705,358912452756123,DeepBI_0502_M19 manu 2_overstock,401945033887736,DeepBI_0502_M19 manu 2,LPM17SS00190BLK00LA1-23V1,DeepBI_0502_M19 manu 2_overstock,DeepBI_0502_M19 manu 2
FR,67.09,6.81,0.101505,370475500006660,DeepBI_0502_M36 auto_overstock,516468538668241,DeepBI_0502_M36 auto,LPM17SS00360BLK00MR4V2,DeepBI_0502_M36 auto_overstock,DeepBI_0502_M36 auto
FR,66.97,2.01,0.030013,194689133640064,B14-Auto_overstock,219065790388131,Ad group - 23/06/2022 11:43:15,LPB22SS0014MT010XSR4,DeepBI_0502_B14-Auto_overstock,DeepBI_0502_Ad group - 23/06/2022 11:43:15
FR,66.42,2.77,0.041704,394390985152618,DeepBI_0502_M92 M93 manu_overstock,551830018868694,DeepBI_0502_M92 M93 manu_overstock,LPM21SS00930BLK00SR2,DeepBI_0502_M92 M93 manu_overstock,DeepBI_0502_M92 M93 manu_overstock
