market,SUM(sales1d),SUM(cost),avg_acos,campaignId,campaignName,adGroupId,adGroupName,advertisedSku,new_campaignName,new_adGroupName
UK,1195.95,178.82,0.149521,197618467766930,M36 - Auto,169836026136090,M36 - Auto,LPM17SS0036MUT10XLR4V4,DeepBI_0502_M36 - Auto,DeepBI_0502_M36 - Auto
UK,519.42,76.44,0.147164,83835255713841,K01 - Auto,279989902040418,All colors,LPK17SS0001MUT1008R4,DeepBI_0502_K01 - Auto,DeepBI_0502_All colors
UK,468.39,58.03,0.123892,83835255713841,Xmars AI Kids - K01 - Auto,279989902040418,All colors,LPK17SS0001MUT1008R4,DeepBI_0502_Xmars AI Kids - K01 - Auto,DeepBI_0502_All colors
UK,357.46,51.9,0.145191,197618467766930,Xmars AI M36 - Auto,169836026136090,M36 - Auto,LPM17SS0036MUT10XLR4V4,DeepBI_0502_Xmars AI M36 - Auto,DeepBI_0502_M36 - Auto
UK,350.78,48.6,0.138548,246555855166039,M19 - AUTO,271461786038701,M19 AUTO,LPM17SS00190WHI0XLR1-22V1,DeepBI_0502_M19 - AUTO,DeepBI_0502_M19 AUTO
UK,264.66,31.64,0.11955,33258822311668,M35 - Auto,29481039123844,M35-auto,LPM17SS00350BLKXXLR4V3,DeepBI_0502_M35 - Auto,DeepBI_0502_M35-auto
UK,210.12,28.15,0.133971,33258822311668,M35 - Auto,29481039123844,M35-auto,LPM17SS00350WHI0XLR4V2,DeepBI_0502_M35 - Auto,DeepBI_0502_M35-auto
UK,172.56,19.96,0.11567,33258822311668,Xmars AI M35 - Auto,29481039123844,M35-auto,LPM17SS00350BLKXXLR4V3,DeepBI_0502_Xmars AI M35 - Auto,DeepBI_0502_M35-auto
UK,169.67,20.2,0.119055,10956613969916,M36 - Broad,252610373628168,Ad group 1,LPM17SS0036MUT10XLR4V4,DeepBI_0502_M36 - Broad,DeepBI_0502_Ad group 1
UK,164.39,11.47,0.069773,83879587866730,Lounge - M38 - Broad,74530545744036,Ad group 1,LPM17AW0038NBBL0XLA1,DeepBI_0502_Lounge - M38 - Broad,DeepBI_0502_Ad group 1
UK,156.58,21.47,0.137118,175742856536338,M93 - Phrase,110880716066715,Ad group 1,LPM21SS0093MT0100LR2,DeepBI_0502_M93 - Phrase,DeepBI_0502_Ad group 1
UK,149.1,15.04,0.100872,175742856536338,M93 - Phrase,110880716066715,Ad group 1,LPM21SS0093MT0100MR2,DeepBI_0502_M93 - Phrase,DeepBI_0502_Ad group 1
UK,144.08,11.51,0.079886,175742856536338,Xmars AI M93 - Phrase,110880716066715,Ad group 1,LPM21SS0093MT0100LR2,DeepBI_0502_Xmars AI M93 - Phrase,DeepBI_0502_Ad group 1
UK,119.7,8.47,0.07076,197618467766930,M36 - Auto,169836026136090,M36 - Auto,LPM17SS0036MUT100SR4V4,DeepBI_0502_M36 - Auto,DeepBI_0502_M36 - Auto
UK,116.62,9.85,0.084462,246555855166039,Xmars AI M19 AUTO,271461786038701,M19 AUTO,LPM17SS00190WHI0XLR1-22V1,DeepBI_0502_Xmars AI M19 AUTO,DeepBI_0502_M19 AUTO
UK,116.62,11.81,0.101269,398358403160178,M131-Manual,329856438055514,Ad group - 05/07/2023 12:42:23.388,LPM23SS0131IDBL00MR1,DeepBI_0502_M131-Manual,DeepBI_0502_Ad group - 05/07/2023 12:42:23.388
UK,113.1,6.7,0.05924,33258822311668,Xmars AI M35 - Auto,29481039123844,M35-auto,LPM17SS00350BLK00MR4V2,DeepBI_0502_Xmars AI M35 - Auto,DeepBI_0502_M35-auto
UK,110.8,0.6,0.005415,308653365724384,M57 - Auto,526404547955514,M57 - Auto,LPM18AW0057DHGR0XLR2,DeepBI_0502_M57 - Auto,DeepBI_0502_M57 - Auto
UK,109.19,10.99,0.10065,197618467766930,M36 - Auto,169836026136090,M36 - Auto,LPM17SS00360BLK0XLR4,DeepBI_0502_M36 - Auto,DeepBI_0502_M36 - Auto
UK,104.35,15.4,0.14758,83835255713841,K01 - Auto,279989902040418,All colors,LPK17SS00010MUT006R4Y20V1,DeepBI_0502_K01 - Auto,DeepBI_0502_All colors
UK,102.34,7.97,0.077878,246555855166039,M19 - AUTO,271461786038701,M19 AUTO,LPM17SS00190BLK0XLR1-23V1,DeepBI_0502_M19 - AUTO,DeepBI_0502_M19 AUTO
UK,99.96,0.7,0.007003,83835255713841,Xmars AI Kids - K01 - Auto,279989902040418,All colors,LPK17SS0001MT0100SR4,DeepBI_0502_Xmars AI Kids - K01 - Auto,DeepBI_0502_All colors
UK,99.96,5.88,0.058824,427382052606826,Xmars AI L52A1/B1 - Category,514516088671507,L52A1/B1 - Category,LPL19SS0052BPSD00MB1,DeepBI_0502_Xmars AI L52A1/B1 - Category,DeepBI_0502_L52A1/B1 - Category
UK,99.96,1.5,0.015006,77665939037048,Xmars AI Out - M19 - Phrase 2024,86260567812901,Ad group 1,LPM17SS0019BURYXXLR1-23V1,DeepBI_0502_Xmars AI Out - M19 - Phrase 2024,DeepBI_0502_Ad group 1
UK,96.16,4.16,0.043261,509917142386376,DeepBI_0502_G11 G19 manu,545088210609092,DeepBI_0502_G11 manu,LPG22SS0011MT0300SR4,DeepBI_0502_G11 G19 manu,DeepBI_0502_G11 manu
UK,92.12,4.98,0.05406,77665939037048,Out - M19 - Phrase 2024,86260567812901,Ad group 1,LPM17SS0019DGRN0XLR1-23V1,DeepBI_0502_Out - M19 - Phrase 2024,DeepBI_0502_Ad group 1
UK,89.91,19.52,0.217106,83835255713841,Xmars AI Kids - K01 - Auto,279989902040418,All colors,LPK17SS00010WHI012R4,DeepBI_0502_Xmars AI Kids - K01 - Auto,DeepBI_0502_All colors
UK,89.78,4.83,0.053798,33258822311668,Xmars AI M35 - Auto,29481039123844,M35-auto,LPM17SS00350WHI0XLR4V2,DeepBI_0502_Xmars AI M35 - Auto,DeepBI_0502_M35-auto
UK,88.71,3.14,0.035396,83835255713841,Xmars AI Kids - K01 - Auto,279989902040418,All colors,LPK17SS0001MUT900LR4,DeepBI_0502_Xmars AI Kids - K01 - Auto,DeepBI_0502_All colors
UK,88.04,13.24,0.150386,246555855166039,M19 - AUTO,271461786038701,M19 AUTO,LPM17SS00190BLK00LR1-22V1,DeepBI_0502_M19 - AUTO,DeepBI_0502_M19 AUTO
UK,86.16,21.04,0.244197,83835255713841,K01 - Auto,279989902040418,All colors,LPK17SS00010WHI012R4,DeepBI_0502_K01 - Auto,DeepBI_0502_All colors
UK,85.81,4.08,0.047547,389150876774167,DeepBI_0502_M31 auto,547781731696075,DeepBI_0502_Ad group 1,LPM17AW00310BLKXXLR2V4,DeepBI_0502_M31 auto,DeepBI_0502_Ad group 1
UK,83.32,0.56,0.006721,25316291264705,L58-Auto,120722950896862,L58 - Auto,LPL18SS0058OFWH00MR2,DeepBI_0502_L58-Auto,DeepBI_0502_L58 - Auto
UK,83.3,5.58,0.066987,427382052606826,L52A1/B1 - Category,514516088671507,L52A1/B1 - Category,LPL19SS0052BPSD00MB1,DeepBI_0502_L52A1/B1 - Category,DeepBI_0502_L52A1/B1 - Category
UK,82.03,6.01,0.073266,83879587866730,Lounge - M38 - Broad,74530545744036,Ad group 1,LPM17AW0038DGNB0XSA1,DeepBI_0502_Lounge - M38 - Broad,DeepBI_0502_Ad group 1
UK,76.97,1.98,0.025724,132330717522760,Xmars AI G11 - Auto,231385388914405,Ad group 1,LPG22SS0011MT0100MR4,DeepBI_0502_Xmars AI G11 - Auto,DeepBI_0502_Ad group 1
UK,75.61,6.02,0.079619,83835255713841,Xmars AI Kids - K01 - Auto,279989902040418,All colors,LPK17SS00010MUT010R4Y20V1,DeepBI_0502_Xmars AI Kids - K01 - Auto,DeepBI_0502_All colors
UK,74.97,3.75,0.05002,83835255713841,K01 - Auto,279989902040418,All colors,LPK17SS00010WHI010R4,DeepBI_0502_K01 - Auto,DeepBI_0502_All colors
UK,74.97,3.03,0.040416,266679740348567,Xmars AI K13 - auto,207861781864646,K13 - auto,LPK22AW0013BRWN00MR1,DeepBI_0502_Xmars AI K13 - auto,DeepBI_0502_K13 - auto
UK,74.97,1.26,0.016807,266679740348567,Xmars AI K13 - auto,207861781864646,K13 - auto,LPK22AW0013BRWN2XLR1,DeepBI_0502_Xmars AI K13 - auto,DeepBI_0502_K13 - auto
UK,73.28,0.5,0.006823,472347769259023,Xmars AI L01A1/B1-Auto,544652824654412,Ad group - 22/04/2024 12:42:10.055,LPL16SS0001OFWH00LA1,DeepBI_0502_Xmars AI L01A1/B1-Auto,DeepBI_0502_Ad group - 22/04/2024 12:42:10.055
UK,71.54,7.18,0.100363,78164877519981,Out - M19 - Exact 2024,147722707348885,Ad group 1,LPM17SS00190BLK00LR1-22V1,DeepBI_0502_Out - M19 - Exact 2024,DeepBI_0502_Ad group 1
UK,70.8,5.07,0.07161,83879587866730,Xmars AI Lounge - M38 - Broad,74530545744036,Ad group 1,LPM17AW0038DGNB0XSA1,DeepBI_0502_Xmars AI Lounge - M38 - Broad,DeepBI_0502_Ad group 1
UK,66.78,8.74,0.130878,14431222967292,M93 - Auto,49679875984485,Ad group 1,LPM21SS0093MT0100SR2,DeepBI_0502_M93 - Auto,DeepBI_0502_Ad group 1
UK,66.64,0.39,0.005852,427382052606826,L52A1/B1 - Category,514516088671507,L52A1/B1 - Category,LPL19SS0052OFWH00SB1,DeepBI_0502_L52A1/B1 - Category,DeepBI_0502_L52A1/B1 - Category
UK,66.64,1.72,0.02581,246555855166039,M19 - AUTO,271461786038701,M19 AUTO,LPM17SS00190BLK00MR1-23V1,DeepBI_0502_M19 - AUTO,DeepBI_0502_M19 AUTO
UK,63.38,6.22,0.098138,246555855166039,M19 - AUTO,271461786038701,M19 AUTO,LPM17SS00190NAY00LR1-23V1,DeepBI_0502_M19 - AUTO,DeepBI_0502_M19 AUTO
UK,62.46,3.54,0.056676,175742856536338,Xmars AI M93 - Phrase,110880716066715,Ad group 1,LPM21SS0093MT0200SR2,DeepBI_0502_Xmars AI M93 - Phrase,DeepBI_0502_Ad group 1
UK,62.37,1.93,0.030944,3837467415171,Xmars AI Kids - K01 - Phrase,148307171487413,Ad group 1,LPK17SS0001MUT1008R4,DeepBI_0502_Xmars AI Kids - K01 - Phrase,DeepBI_0502_Ad group 1
UK,61.17,4.42,0.072258,83835255713841,Xmars AI Kids - K01 - Auto,279989902040418,All colors,LPK17SS00010MUT006R4Y20V1,DeepBI_0502_Xmars AI Kids - K01 - Auto,DeepBI_0502_All colors
