market,SUM(sales1d),SUM(cost),avg_acos,campaignId,campaignName,adGroupId,adGroupName,advertisedSku,new_campaignName,new_adGroupName
FR,224.08,12.88,0.057479,331681360709372,DeepBI_0502_K01 manu,282509148388744,DeepBI_0502_K01 manu,LPK17SS00010WHI006R4,DeepBI_0502_K01 manu,DeepBI_0502_K01 manu
FR,201.59,3.58,0.017759,327466423530287,DeepBI_0502_K01 girl - Manual,458304570878160,DeepBI_0502_K01 girl - Manual,LPK17SS0001MT1400LR4,DeepBI_0502_K01 girl - Manual,DeepBI_0502_K01 girl - Manual
FR,191.58,4.84,0.025264,329922763599976,DeepBI_0502_M131_Manual,542466657939120,DeepBI_0502_M131_Manual,LPM23SS0131DOLV00LR1,DeepBI_0502_M131_Manual,DeepBI_0502_M131_Manual
FR,172.01,4.78,0.027789,370475500006660,DeepBI_0502_M36 auto,516468538668241,DeepBI_0502_M36 auto,LPM17SS0036MUT200LR4,DeepBI_0502_M36 auto,DeepBI_0502_M36 auto
FR,149.94,10.04,0.06696,327466423530287,DeepBI_0502_K01 girl - Manual,458304570878160,DeepBI_0502_K01 girl - Manual,LPK17SS0001MT1500SR4,DeepBI_0502_K01 girl - Manual,DeepBI_0502_K01 girl - Manual
FR,149.94,3.7,0.024677,327466423530287,DeepBI_0502_K01 girl - Manual,458304570878160,DeepBI_0502_K01 girl - Manual,LPK17SS0001MT150XLR4,DeepBI_0502_K01 girl - Manual,DeepBI_0502_K01 girl - Manual
FR,124.95,6.76,0.054102,397618483934436,DeepBI_0502_K01 auto,303743200581063,DeepBI_0502_K01 auto,LPK17SS00010WHI006R4,DeepBI_0502_K01 auto,DeepBI_0502_K01 auto
FR,116.6,0.3,0.002573,82314254874226,M10-1 Pack-Manuel,231826475354990,M10-Large,LPM16AW0010CMDG00LR1,DeepBI_0502_M10-1 Pack-Manuel,DeepBI_0502_M10-Large
FR,104.09,2.45,0.023537,519687384968615,DeepBI_0502_M19 auto,524359050573607,DeepBI_0502_M19 auto,LPM17SS0019PINK00MR1-23V1,DeepBI_0502_M19 auto,DeepBI_0502_M19 auto
FR,103.3,0.62,0.006002,45296319267034,L17-Manuel,185825892842985,L17-Large,LPL17AW00170BLK00MR2-19Y,DeepBI_0502_L17-Manuel,DeepBI_0502_L17-Large
FR,102.46,9.21,0.089889,331681360709372,DeepBI_0502_K01 manu,282509148388744,DeepBI_0502_K01 manu,LPK17SS0001MUT900MR4,DeepBI_0502_K01 manu,DeepBI_0502_K01 manu
FR,99.96,3.61,0.036114,331681360709372,DeepBI_0502_K01 manu,282509148388744,DeepBI_0502_K01 manu,LPK17SS0001MT092XLR4,DeepBI_0502_K01 manu,DeepBI_0502_K01 manu
FR,99.96,2.19,0.021909,327466423530287,DeepBI_0502_K01 girl - Manual,458304570878160,DeepBI_0502_K01 girl - Manual,LPK17SS0001MT1400MR4,DeepBI_0502_K01 girl - Manual,DeepBI_0502_K01 girl - Manual
FR,98.29,1.61,0.01638,266649249856686,M36-Manuel,56337470668458,M36-Large,LPM17SS0036MUT200LR4,DeepBI_0502_M36-Manuel,DeepBI_0502_M36-Large
FR,86.62,2.61,0.030132,447914470495099,DeepBI_0502_M39_Manual,373113922213271,DeepBI_0502_M39_Manual,LPM17AW0039BLRDXXLR1,DeepBI_0502_M39_Manual,DeepBI_0502_M39_Manual
FR,83.31,1.76,0.021126,370650465728576,DeepBI_0502_G11 G19 manu,554606123730222,DeepBI_0502_G11 G19 manu,LPG22SS0011MT0500MR4,DeepBI_0502_G11 G19 manu,DeepBI_0502_G11 G19 manu
FR,80.81,4.77,0.059027,310897830115275,DeepBI_0502_G11 auto,447393876724280,DeepBI_0502_G11 auto,LPG22SS0011MT0500MR4,DeepBI_0502_G11 auto,DeepBI_0502_G11 auto
FR,74.97,2.06,0.027478,327466423530287,DeepBI_0502_K01 girl - Manual,458304570878160,DeepBI_0502_K01 girl - Manual,LPK17SS0001MT140XSR4,DeepBI_0502_K01 girl - Manual,DeepBI_0502_K01 girl - Manual
FR,58.32,2.27,0.038923,370650465728576,DeepBI_0502_G11 G19 manu,554606123730222,DeepBI_0502_G11 G19 manu,LPG22SS0011MT0100LR4,DeepBI_0502_G11 G19 manu,DeepBI_0502_G11 G19 manu
FR,49.98,2.11,0.042217,397618483934436,DeepBI_0502_K01 auto,303743200581063,DeepBI_0502_K01 auto,LPK17SS0001MUT900MR4,DeepBI_0502_K01 auto,DeepBI_0502_K01 auto
FR,37.48,1.48,0.039488,303596841106930,DeepBI_0502_M131 auto,445692937997527,DeepBI_0502_M131 auto,LPM23SS0131DOLV00LR1,DeepBI_0502_M131 auto,DeepBI_0502_M131 auto
FR,29.16,1.0,0.034294,310897830115275,DeepBI_0502_G11 auto,447393876724280,DeepBI_0502_G11 auto,LPG22SS0011MT0100LR4,DeepBI_0502_G11 auto,DeepBI_0502_G11 auto
FR,24.99,0.68,0.027211,397618483934436,DeepBI_0502_K01 auto,303743200581063,DeepBI_0502_K01 auto,LPK17SS0001MT092XLR4,DeepBI_0502_K01 auto,DeepBI_0502_K01 auto
