market,SUM(sales1d),SUM(cost),avg_acos,campaignId,campaignName,adGroupId,adGroupName,advertisedSku,new_campaignName,new_adGroupName
IT,262.2,6.48,0.024714,480800603845212,DeepBI_0502_K01 manu,283461118972816,DeepBI_0502_K01 manu,LPK17SS0001MUT92XSR4,DeepBI_0502_K01 manu,DeepBI_0502_K01 manu
IT,209.7,29.05,0.138531,196272310041065,L52(AUTO),199121655715959,L52(AUT),LPL19SS00520BLK00SB1,DeepBI_0502_L52(AUTO),DeepBI_0502_L52(AUT)
IT,204.78,23.26,0.113585,396897728935839,DeepBI_new_L52(AUTO),498944120145421,DeepBI_new_L52(AUT),LPL19SS0052BURY0XLA1,DeepBI_0502_DeepBI_new_L52(AUTO),DeepBI_0502_DeepBI_new_L52(AUT)
IT,172.06,9.91,0.057596,436000448211026,DeepBI_0502_BR:Lounge - M92 - Broad,452888953830197,DeepBI_0502_BR:Lounge - M92 - Broad,LPM21SS0092MT030XSR2,DeepBI_0502_BR:Lounge - M92 - Broad,DeepBI_0502_BR:Lounge - M92 - Broad
IT,108.12,14.15,0.130873,196272310041065,L52(AUTO),199121655715959,L52(AUT),LPL19SS0052BURY0XLA1,DeepBI_0502_L52(AUTO),DeepBI_0502_L52(AUT)
IT,104.04,3.44,0.033064,347181799091852,DeepBI_0502_L02 Manu,465427839359222,DeepBI_0502_L02 Manu,LPL16SS00020BLK00LA1,DeepBI_0502_L02 Manu,DeepBI_0502_L02 Manu
IT,78.66,1.25,0.015891,480800603845212,DeepBI_0502_K01 manu,283461118972816,DeepBI_0502_K01 manu,LPK17SS0001MT1300MR4,DeepBI_0502_K01 manu,DeepBI_0502_K01 manu
IT,73.74,4.04,0.054787,468074362435847,M92/M93 - Exact/Phrase（mz,550258316145487,M92/M93 - Exact/Phrase（mz,LPM21SS0093MT0300LR2,DeepBI_0502_M92/M93 - Exact/Phrase（mz,DeepBI_0502_M92/M93 - Exact/Phrase（mz
IT,68.82,1.52,0.022087,340145720573409,DeepBI_0502_M19 auto,514469629011172,DeepBI_0502_M19 auto,LPM17SS0019BURYXXLR1-23V1,DeepBI_0502_M19 auto,DeepBI_0502_M19 auto
IT,68.82,1.73,0.025138,340145720573409,DeepBI_0502_M19 auto,514469629011172,DeepBI_0502_M19 auto,LPM17SS0019DGRN00MR1-23V1,DeepBI_0502_M19 auto,DeepBI_0502_M19 auto
IT,49.16,1.64,0.03336,436000448211026,DeepBI_0502_BR:Lounge - M92 - Broad,452888953830197,DeepBI_0502_BR:Lounge - M92 - Broad,LPM21SS0092MT0400LR2,DeepBI_0502_BR:Lounge - M92 - Broad,DeepBI_0502_BR:Lounge - M92 - Broad
IT,44.24,0.3,0.006781,96847443850544,B21 Auto (Anton),220282780330386,B21 Auto,LPB22AW00210RED0XSR2,DeepBI_0502_B21 Auto (Anton),DeepBI_0502_B21 Auto
IT,26.22,0.33,0.012586,282756947794209,K01_AUTO,338416200453899,K01 (AUTO),LPK17SS0001MUT1014R4,DeepBI_0502_K01_AUTO,DeepBI_0502_K01 (AUTO)
IT,26.22,0.68,0.025934,282756947794209,K01_AUTO,338416200453899,K01 (AUTO),LPK17SS0001MUT90XLR4,DeepBI_0502_K01_AUTO,DeepBI_0502_K01 (AUTO)
IT,24.58,0.31,0.012612,468074362435847,M92/M93 - Exact/Phrase（mz,550258316145487,M92/M93 - Exact/Phrase（mz,LPM21SS0092MT0400LR2,DeepBI_0502_M92/M93 - Exact/Phrase（mz,DeepBI_0502_M92/M93 - Exact/Phrase（mz
IT,18.02,0.17,0.009434,59205171456120,All Leggings - AUTO (L01/L09/L52/L02),221311532161651,All Leggings - AUTO (L01/L09/L82/L52/L02),LPL19SS00520BLK00SB1,DeepBI_0502_All Leggings - AUTO (L01/L09/L52/L02),DeepBI_0502_All Leggings - AUTO (L01/L09/L82/L52/L02)
