market,sum(sales1d),sum(cost),avg_acos,campaignId,campaignName,adGroupId,adGroupName,advertisedSku,new_campaignName,new_adGroupName
UK,117.76,7.55,0.064113,14431222967292,M93 - Auto,49679875984485,Ad group 1,LPM21SS0093MT0100SR2,DeepBI_0502_M93 - Auto,DeepBI_0502_M93 - Auto
UK,96.6,3.04,0.03147,83879587866730,Lounge - M38 - Broad,74530545744036,Ad group 1,LPM17AW0038LGLB00LA1,DeepBI_0502_Lounge - M38 - Broad,DeepBI_0502_Lounge - M38 - Broad
UK,95.28,11.42,0.119857,175742856536338,M93 - Phrase,110880716066715,Ad group 1,LPM21SS0093MT0100SR2,DeepBI_0502_M93 - Phrase,DeepBI_0502_M93 - Phrase
UK,94.95,3.29,0.03465,10956613969916,M36 - Broad,252610373628168,Ad group 1,LPM17SS0036LHGY0XLR4,DeepBI_0502_M36 - Broad,DeepBI_0502_M36 - Broad
UK,76.64,6.16,0.080376,155555205378452,Lounge - M92 - Phrase,200357779188843,Ad group 1,LPM21SS0092MT040XLR2,DeepBI_0502_Lounge - M92 - Phrase,DeepBI_0502_Lounge - M92 - Phrase
UK,74.97,2.36,0.031479,504111313714291,G19-Auto,506784597763149,Ad group - 10/04/2024 15:41:49.786,LPG24SS0019MT012XSR4,DeepBI_0502_G19-Auto,DeepBI_0502_G19-Auto
UK,74.97,0.63,0.008403,83835255713841,Kids - K01 - Auto,279989902040418,All colors,LPK17SS0001MT0900LR4,DeepBI_0502_Kids - K01 - Auto,DeepBI_0502_Kids - K01 - Auto
UK,74.97,0.65,0.00867,500224078367423,K01G - Manual,430159404666827,K01G - Manual,LPK17SS0001MT1500LR4,DeepBI_0502_K01G - Manual,DeepBI_0502_K01G - Manual
UK,71.63,0.66,0.009214,53664630638819,M100 - auto,245325994710347,M100 - Auto,LPM21AW01000BLK0XLR2,DeepBI_0502_M100 - auto,DeepBI_0502_M100 - auto
UK,67.16,0.87,0.012954,78164877519981,Out - M19 - Exact 2024,147722707348885,Ad group 1,LPM17SS00190BLK2XLA1-23V1,DeepBI_0502_Out - M19 - Exact 2024,DeepBI_0502_Out - M19 - Exact 2024
UK,62.46,3.94,0.06308,175742856536338,M93 - Phrase,110880716066715,Ad group 1,LPM21SS0093MT0100MR2,DeepBI_0502_M93 - Phrase,DeepBI_0502_M93 - Phrase
UK,62.46,0.17,0.002722,175742856536338,M93 - Phrase,110880716066715,Ad group 1,LPM21SS0093MT012XLR2,DeepBI_0502_M93 - Phrase,DeepBI_0502_M93 - Phrase
UK,49.98,2.33,0.046619,77665939037048,Out - M19 - Phrase 2024,86260567812901,Ad group 1,LPM17SS0019GYBL00LR1,DeepBI_0502_Out - M19 - Phrase 2024,DeepBI_0502_Out - M19 - Phrase 2024
UK,49.98,1.65,0.033013,397153226625281,L52A1/B1 - Manual,343857620064650,Ad group - 22/04/2024 16:02:45.205,LPL19SS0052BURY00MA1,DeepBI_0502_L52A1/B1 - Manual,DeepBI_0502_L52A1/B1 - Manual
UK,38.32,1.9,0.049582,155555205378452,Lounge - M92 - Phrase,200357779188843,Ad group 1,LPM21SS0092MT0200SR2,DeepBI_0502_Lounge - M92 - Phrase,DeepBI_0502_Lounge - M92 - Phrase
UK,38.22,0.41,0.010727,77665939037048,Out - M19 - Phrase 2024,86260567812901,Ad group 1,LPM17SS00190NAY0XLA1-23V1,DeepBI_0502_Out - M19 - Phrase 2024,DeepBI_0502_Out - M19 - Phrase 2024
UK,34.48,1.12,0.032483,60601826480780,BR:Lounge - M92 - Broad,53585593947798,Ad group 1,LPM21SS0092MT0200SR2,DeepBI_0502_BR:Lounge - M92 - Broad,DeepBI_0502_BR:Lounge - M92 - Broad
UK,24.99,0.43,0.017207,3837467415171,Kids - K01 - Phrase,148307171487413,Ad group 1,LPK17SS0001MT0900LR4,DeepBI_0502_Kids - K01 - Phrase,DeepBI_0502_Kids - K01 - Phrase
UK,24.99,0.38,0.015206,390434898028208,G19-Manual,400763495726614,Ad group - 10/04/2024 15:43:49.189,LPG24SS0019MT012XSR4,DeepBI_0502_G19-Manual,DeepBI_0502_G19-Manual
UK,20.82,0.3,0.014409,14431222967292,M93 - Auto,49679875984485,Ad group 1,LPM21SS0093MT0100MR2,DeepBI_0502_M93 - Auto,DeepBI_0502_M93 - Auto
UK,19.99,2.46,0.123062,197618467766930,M36 - Auto,169836026136090,M36 - Auto,LPM17SS0036LHGY0XLR4,DeepBI_0502_M36 - Auto,DeepBI_0502_M36 - Auto
UK,19.16,1.26,0.065762,60601826480780,BR:Lounge - M92 - Broad,53585593947798,Ad group 1,LPM21SS0092MT040XLR2,DeepBI_0502_BR:Lounge - M92 - Broad,DeepBI_0502_BR:Lounge - M92 - Broad
UK,16.66,1.2,0.072029,78164877519981,Out - M19 - Exact 2024,147722707348885,Ad group 1,LPM17SS0019GYBL00LR1,DeepBI_0502_Out - M19 - Exact 2024,DeepBI_0502_Out - M19 - Exact 2024
