market,sum(sales1d),sum(cost),avg_acos,campaignId,campaignName,adGroupId,adGroupName,advertisedSku,new_campaignName,new_adGroupName
UK,128.24,5.65,0.044058,456453347752687,L02A1/B1 - Manual,377804511208738,Ad group - 22/04/2024 15:43:09.993,LPL16SS00020BLK0XLB1,DeepBI_0502_L02A1/B1 - Manual,DeepBI_0502_L02A1/B1 - Manual
UK,117.76,7.55,0.064113,14431222967292,M93 - Auto,49679875984485,Ad group 1,LPM21SS0093MT0100SR2,DeepBI_0502_M93 - Auto,DeepBI_0502_M93 - Auto
UK,95.28,11.42,0.119857,175742856536338,M93 - Phrase,110880716066715,Ad group 1,LPM21SS0093MT0100SR2,DeepBI_0502_M93 - Phrase,DeepBI_0502_M93 - Phrase
UK,87.48,6.59,0.075332,160360641301975,M29-Auto,72580692054969,M29,LPM17AW0029DGRY00SR2,DeepBI_0502_M29-Auto,DeepBI_0502_M29-Auto
UK,76.64,6.16,0.080376,155555205378452,Lounge - M92 - Phrase,200357779188843,Ad group 1,LPM21SS0092MT040XLR2,DeepBI_0502_Lounge - M92 - Phrase,DeepBI_0502_Lounge - M92 - Phrase
UK,74.97,0.65,0.00867,500224078367423,K01G - Manual,430159404666827,K01G - Manual,LPK17SS0001MT1500LR4,DeepBI_0502_K01G - Manual,DeepBI_0502_K01G - Manual
UK,71.63,0.66,0.009214,53664630638819,M100 - auto,245325994710347,M100 - Auto,LPM21AW01000BLK0XLR2,DeepBI_0502_M100 - auto,DeepBI_0502_M100 - auto
UK,70.81,0.66,0.009321,157706647425720,M29-Manual,155185112456664,M29-KW,LPM17AW00290BLK00MR1V5,DeepBI_0502_M29-Manual,DeepBI_0502_M29-Manual
UK,67.16,0.87,0.012954,78164877519981,Out - M19 - Exact 2024,147722707348885,Ad group 1,LPM17SS00190BLK2XLA1-23V1,DeepBI_0502_Out - M19 - Exact 2024,DeepBI_0502_Out - M19 - Exact 2024
UK,66.64,1.12,0.016807,77665939037048,Out - M19 - Phrase 2024,86260567812901,Ad group 1,LPM17SS00190WHI00MR1-23V1,DeepBI_0502_Out - M19 - Phrase 2024,DeepBI_0502_Out - M19 - Phrase 2024
UK,62.46,3.94,0.06308,175742856536338,M93 - Phrase,110880716066715,Ad group 1,LPM21SS0093MT0100MR2,DeepBI_0502_M93 - Phrase,DeepBI_0502_M93 - Phrase
UK,62.46,0.17,0.002722,175742856536338,M93 - Phrase,110880716066715,Ad group 1,LPM21SS0093MT012XLR2,DeepBI_0502_M93 - Phrase,DeepBI_0502_M93 - Phrase
UK,59.97,1.86,0.031016,83835255713841,Kids - K01 - Auto,279989902040418,All colors,LPK17SS0001MT012XSR4,DeepBI_0502_Kids - K01 - Auto,DeepBI_0502_Kids - K01 - Auto
UK,49.98,1.58,0.031613,246555855166039,M19 AUTO,271461786038701,M19 AUTO,LPM17SS0019LPUR0XLR1,DeepBI_0502_M19 AUTO,DeepBI_0502_M19 AUTO
UK,46.64,0.35,0.007504,484491684036781,M05/M06-Auto,297745061987747,Ad group - 10/04/2024 15:26:12.047,LPM16SS00060BLK2XLR3,DeepBI_0502_M05/M06-Auto,DeepBI_0502_M05/M06-Auto
UK,46.06,1.42,0.030829,77665939037048,Out - M19 - Phrase 2024,86260567812901,Ad group 1,LPM17SS0019LPUR0XLR1,DeepBI_0502_Out - M19 - Phrase 2024,DeepBI_0502_Out - M19 - Phrase 2024
UK,38.32,1.9,0.049582,155555205378452,Lounge - M92 - Phrase,200357779188843,Ad group 1,LPM21SS0092MT0200SR2,DeepBI_0502_Lounge - M92 - Phrase,DeepBI_0502_Lounge - M92 - Phrase
UK,38.22,0.41,0.010727,77665939037048,Out - M19 - Phrase 2024,86260567812901,Ad group 1,LPM17SS00190NAY0XLA1-23V1,DeepBI_0502_Out - M19 - Phrase 2024,DeepBI_0502_Out - M19 - Phrase 2024
UK,34.48,1.12,0.032483,60601826480780,BR:Lounge - M92 - Broad,53585593947798,Ad group 1,LPM21SS0092MT0200SR2,DeepBI_0502_BR:Lounge - M92 - Broad,DeepBI_0502_BR:Lounge - M92 - Broad
UK,29.16,3.03,0.103909,160360641301975,M29-Auto,72580692054969,M29,LPM17AW00290BLK00MR1V5,DeepBI_0502_M29-Auto,DeepBI_0502_M29-Auto
UK,24.99,0.72,0.028812,3837467415171,Kids - K01 - Phrase,148307171487413,Ad group 1,LPK17SS0001MT012XSR4,DeepBI_0502_Kids - K01 - Phrase,DeepBI_0502_Kids - K01 - Phrase
UK,20.82,0.3,0.014409,14431222967292,M93 - Auto,49679875984485,Ad group 1,LPM21SS0093MT0100MR2,DeepBI_0502_M93 - Auto,DeepBI_0502_M93 - Auto
UK,19.16,1.26,0.065762,60601826480780,BR:Lounge - M92 - Broad,53585593947798,Ad group 1,LPM21SS0092MT040XLR2,DeepBI_0502_BR:Lounge - M92 - Broad,DeepBI_0502_BR:Lounge - M92 - Broad
UK,16.66,0.8,0.048019,246555855166039,M19 AUTO,271461786038701,M19 AUTO,LPM17SS00190WHI00MR1-23V1,DeepBI_0502_M19 AUTO,DeepBI_0502_M19 AUTO
