market,sum( sales ),sum( cost ),avg_acos,campaignId,campaignName,adGroupId,adGroupName,promotedSku,new_campaignName,new_adGroupName
US,325.37,14.42,0.044319,75551956539934,M39-SDPD-防御PJ-VCPM,49707968653951,Ad group 1,LPM17AW0039DGNB0XLR1,DeepBI_0507_M39-SDPD-防御PJ-VCPM,DeepBI_0507_Ad group 1
US,214.96,2.08,0.009676,46758162149897,M10-SD-Category lapasa-JN,177417268968790,Ad group 1,LPM16AW0010DGRY0XLR2,DeepBI_0507_M10-SD-Category lapasa-JN,DeepBI_0507_Ad group 1
US,204.42,12.18,0.059583,75551956539934,M39-SDPD-防御PJ-VCPM,49707968653951,Ad group 1,LPM17AW0039DGNB00LR1,DeepBI_0507_M39-SDPD-防御PJ-VCPM,DeepBI_0507_Ad group 1
US,191.41,14.54,0.075963,75551956539934,M39-SDPD-防御PJ-VCPM,49707968653951,Ad group 1,LPM17AW0039DGNB2XLR1,DeepBI_0507_M39-SDPD-防御PJ-VCPM,DeepBI_0507_Ad group 1
US,163.96,2.42,0.01476,46758162149897,M10-SD-Category lapasa-JN,177417268968790,Ad group 1,LPM16AW00100NAY00LR2V2,DeepBI_0507_M10-SD-Category lapasa-JN,DeepBI_0507_Ad group 1
US,156.95,5.97,0.038038,392998362039029,M39 - SD PRODUCT,317834252048469,Ad group - 11/6/2023 16:11:28.149,LPM17AW0039DGNB2XLR1,DeepBI_0507_M39 - SD PRODUCT,DeepBI_0507_Ad group - 11/6/2023 16:11:28.149
US,139.97,2.82,0.020147,46758162149897,M10-SD-Category lapasa-JN,177417268968790,Ad group 1,LPM16AW00100BLK0XLR2,DeepBI_0507_M10-SD-Category lapasa-JN,DeepBI_0507_Ad group 1
US,136.97,2.27,0.016573,46758162149897,M10-SD-Category lapasa-JN,177417268968790,Ad group 1,LPM16AW00100NAY00MR2,DeepBI_0507_M10-SD-Category lapasa-JN,DeepBI_0507_Ad group 1
US,135.97,2.22,0.016327,188981063840537,M100-SD-PD-防御PJ-VCPM,68774124156798,Ad group 1,LPM21AW0100HDHG0XLR2,DeepBI_0507_M100-SD-PD-防御PJ-VCPM,DeepBI_0507_Ad group 1
US,129.95,1.86,0.014313,46758162149897,M10-SD-Category lapasa-JN,177417268968790,Ad group 1,LPM16AW00100BLKXXLR2,DeepBI_0507_M10-SD-Category lapasa-JN,DeepBI_0507_Ad group 1
US,129.93,12.47,0.095975,75551956539934,M39-SDPD-防御PJ-VCPM,49707968653951,Ad group 1,LPM17AW0039DGNB00MR1,DeepBI_0507_M39-SDPD-防御PJ-VCPM,DeepBI_0507_Ad group 1
US,127.95,1.89,0.014771,238035769514230,M38-SD-防御本品牌PJ-VCPM,43356737822330,Ad group 1,LPM17AW0038NBBL00SA1,DeepBI_0507_M38-SD-防御本品牌PJ-VCPM,DeepBI_0507_Ad group 1
US,127.95,8.17,0.063853,392998362039029,M39 - SD PRODUCT,317834252048469,Ad group - 11/6/2023 16:11:28.149,LPM17AW0039DGNB00LR1,DeepBI_0507_M39 - SD PRODUCT,DeepBI_0507_Ad group - 11/6/2023 16:11:28.149
US,120.44,1.2,0.009963,238035769514230,M38-SD-防御本品牌PJ-VCPM,43356737822330,Ad group 1,LPM17AW0038RDNB2XLA1,DeepBI_0507_M38-SD-防御本品牌PJ-VCPM,DeepBI_0507_Ad group 1
US,114.95,1.48,0.012875,238035769514230,M38-SD-防御本品牌PJ-VCPM,43356737822330,Ad group 1,LPM17AW0038NBBL00LA1V2,DeepBI_0507_M38-SD-防御本品牌PJ-VCPM,DeepBI_0507_Ad group 1
US,110.94,1.41,0.01271,238035769514230,M38-SD-防御本品牌PJ-VCPM,43356737822330,Ad group 1,LPM17AW0038RDNB0XSA1,DeepBI_0507_M38-SD-防御本品牌PJ-VCPM,DeepBI_0507_Ad group 1
US,110.45,1.61,0.014577,238035769514230,M38-SD-防御本品牌PJ-VCPM,43356737822330,Ad group 1,LPM17AW0038LGLB00SA1,DeepBI_0507_M38-SD-防御本品牌PJ-VCPM,DeepBI_0507_Ad group 1
US,108.96,2.1,0.019273,238035769514230,M38-SD-防御本品牌PJ-VCPM,43356737822330,Ad group 1,LPM17AW0038LGLB00LA1,DeepBI_0507_M38-SD-防御本品牌PJ-VCPM,DeepBI_0507_Ad group 1
US,104.93,13.61,0.129706,75551956539934,M39-SDPD-防御PJ-VCPM,49707968653951,Ad group 1,LPM17AW0039DGNB00SR1,DeepBI_0507_M39-SDPD-防御PJ-VCPM,DeepBI_0507_Ad group 1
