market,sum(sales1d),sum(cost),avg_acos,campaignId,campaignName,adGroupId,adGroupName,advertisedSku,new_campaignName,new_adGroupName
UK,96.6,3.04,0.03147,83879587866730,Lounge - M38 - Broad,74530545744036,Ad group 1,LPM17AW0038LGLB00LA1,DeepBI_0502_Lounge - M38 - Broad,DeepBI_0502_Lounge - M38 - Broad
UK,76.64,6.16,0.080376,155555205378452,Lounge - M92 - Phrase,200357779188843,Ad group 1,LPM21SS0092MT040XLR2,DeepBI_0502_Lounge - M92 - Phrase,DeepBI_0502_Lounge - M92 - Phrase
UK,74.97,0.65,0.00867,500224078367423,K01G - Manual,430159404666827,K01G - Manual,LPK17SS0001MT1500LR4,DeepBI_0502_K01G - Manual,DeepBI_0502_K01G - Manual
UK,71.63,0.66,0.009214,53664630638819,M100 - auto,245325994710347,M100 - Auto,LPM21AW01000BLK0XLR2,DeepBI_0502_M100 - auto,DeepBI_0502_M100 - auto
UK,70.81,0.66,0.009321,157706647425720,M29-Manual,155185112456664,M29-KW,LPM17AW00290BLK00MR1V5,DeepBI_0502_M29-Manual,DeepBI_0502_M29-Manual
UK,38.32,1.9,0.049582,155555205378452,Lounge - M92 - Phrase,200357779188843,Ad group 1,LPM21SS0092MT0200SR2,DeepBI_0502_Lounge - M92 - Phrase,DeepBI_0502_Lounge - M92 - Phrase
UK,38.22,0.41,0.010727,77665939037048,Out - M19 - Phrase 2024,86260567812901,Ad group 1,LPM17SS00190NAY0XLA1-23V1,DeepBI_0502_Out - M19 - Phrase 2024,DeepBI_0502_Out - M19 - Phrase 2024
UK,34.48,1.12,0.032483,60601826480780,BR:Lounge - M92 - Broad,53585593947798,Ad group 1,LPM21SS0092MT0200SR2,DeepBI_0502_BR:Lounge - M92 - Broad,DeepBI_0502_BR:Lounge - M92 - Broad
UK,29.16,3.03,0.103909,160360641301975,M29-Auto,72580692054969,M29,LPM17AW00290BLK00MR1V5,DeepBI_0502_M29-Auto,DeepBI_0502_M29-Auto
UK,19.16,1.26,0.065762,60601826480780,BR:Lounge - M92 - Broad,53585593947798,Ad group 1,LPM21SS0092MT040XLR2,DeepBI_0502_BR:Lounge - M92 - Broad,DeepBI_0502_BR:Lounge - M92 - Broad
