market,sum( sales ),sum( cost ),avg_acos,campaignId,campaignName,adGroupId,adGroupName,promotedSku,new_campaignName,new_adGroupName
DE,127.68,1.68,0.013158,412494457154944,M92 M93 SD 品牌防御,338340428848892,M92 M93,LPM21SS0092MT060XLR2,DeepBI_0509_M92 M93 SD 品牌防御,DeepBI_0509_M92 M93
DE,89.04,9.37,0.105234,521307630596003,M38 M39 SD 品牌防御,329476723713794,M38 M39,LPM17AW0038LGLB0XLA1,DeepBI_0509_M38 M39 SD 品牌防御,DeepBI_0509_M38 M39
DE,67.22,0.08,0.00119,165221475183915,SD_LAPASA_本品防御_vcpm,38705865929921,LAPASA,LPL20AW00480BLK00SR1,DeepBI_0509_SD_LAPASA_本品防御_vcpm,DeepBI_0509_LAPASA
DE,67.22,0.1,0.001488,165221475183915,SD_LAPASA_本品防御_vcpm,38705865929921,LAPASA,LPM16AW00100BLK00LR2New,DeepBI_0509_SD_LAPASA_本品防御_vcpm,DeepBI_0509_LAPASA
DE,67.2,1.98,0.029464,412494457154944,M92 M93 SD 品牌防御,338340428848892,M92 M93,LPM21SS0093MT010XLR2,DeepBI_0509_M92 M93 SD 品牌防御,DeepBI_0509_M92 M93
DE,65.52,2.56,0.039072,412494457154944,M92 M93 SD 品牌防御,338340428848892,M92 M93,LPM21SS0092MT062XLR2,DeepBI_0509_M92 M93 SD 品牌防御,DeepBI_0509_M92 M93
DE,52.92,0.13,0.002457,165221475183915,SD_LAPASA_本品防御_vcpm,38705865929921,LAPASA,LPM21AW0095BLRD00MR2,DeepBI_0509_SD_LAPASA_本品防御_vcpm,DeepBI_0509_LAPASA
DE,44.52,1.31,0.029425,337657406365997,M05 M06 SD 品牌防御,421446545277256,M05 M06,LPM16SS0005MT020XLR3,DeepBI_0509_M05 M06 SD 品牌防御,DeepBI_0509_M05 M06
DE,43.68,0.24,0.005495,521307630596003,M38 M39 SD 品牌防御,329476723713794,M38 M39,LPM22AW0128DGNB0XSR1,DeepBI_0509_M38 M39 SD 品牌防御,DeepBI_0509_M38 M39
DE,31.08,0.05,0.001609,165221475183915,SD_LAPASA_本品防御_vcpm,38705865929921,LAPASA,LPM17AW0039DGNB00SR1,DeepBI_0509_SD_LAPASA_本品防御_vcpm,DeepBI_0509_LAPASA
DE,31.08,3.32,0.106821,533878998343047,M100 M23 SD 品牌防御,368066744764310,广告组 - 7.6.2024 11:32:25.295,LPM21AW0100HGNA00MR2,DeepBI_0509_M100 M23 SD 品牌防御,DeepBI_0509_广告组 - 7.6.2024 11:32:25.295
DE,31.08,3.45,0.111004,469674411157623,M134 SD 品牌防御,457426967302250,M134,LPM24SS01340BLK0XLR1,DeepBI_0509_M134 SD 品牌防御,DeepBI_0509_M134
DE,29.4,0.89,0.030272,511066418596911,M36 SD 品牌防御,511281561152131,M36,LPM17SS00360NAY00MR4,DeepBI_0509_M36 SD 品牌防御,DeepBI_0509_M36
DE,27.72,0.45,0.016234,521307630596003,M38 M39 SD 品牌防御,329476723713794,M38 M39,LPM17AW0038NBBL00MA1,DeepBI_0509_M38 M39 SD 品牌防御,DeepBI_0509_M38 M39
DE,27.72,1.27,0.045815,412494457154944,M92 M93 SD 品牌防御,338340428848892,M92 M93,LPM21SS0093MT0100LR2,DeepBI_0509_M92 M93 SD 品牌防御,DeepBI_0509_M92 M93
DE,27.72,1.36,0.049062,412494457154944,M92 M93 SD 品牌防御,338340428848892,M92 M93,LPM21SS0093MT052XLR2,DeepBI_0509_M92 M93 SD 品牌防御,DeepBI_0509_M92 M93
DE,25.2,0.69,0.027381,337657406365997,M05 M06 SD 品牌防御,421446545277256,M05 M06,LPM16SS0006MT022XLR3,DeepBI_0509_M05 M06 SD 品牌防御,DeepBI_0509_M05 M06
DE,25.2,0.05,0.001984,165221475183915,SD_LAPASA_本品防御_vcpm,38705865929921,LAPASA,LPM17AW00300BLK0XLR1V4,DeepBI_0509_SD_LAPASA_本品防御_vcpm,DeepBI_0509_LAPASA
DE,25.2,0.11,0.004365,521307630596003,M38 M39 SD 品牌防御,329476723713794,M38 M39,LPM17AW0038BLWT0XSA1,DeepBI_0509_M38 M39 SD 品牌防御,DeepBI_0509_M38 M39
DE,25.2,0.1,0.003968,511066418596911,M36 SD 品牌防御,511281561152131,M36,LPM17SS00360BLK00SR4,DeepBI_0509_M36 SD 品牌防御,DeepBI_0509_M36
