market,sum(sales1d),sum(cost),avg_acos,campaignId,campaignName,adGroupId,adGroupName,advertisedSku,new_campaignName,new_adGroupName
DE,1546.06,235.48,0.15231,218543274235804,L55 manu 绩效词,49174721817159,广告组 - 27.5.2022 15:56:48,LPL19SS0055MT020XLA3,DeepBI_0502_L55 manu 绩效词,DeepBI_0502_L55 manu 绩效词
DE,571.37,30.35,0.053118,218543274235804,L55 manu 绩效词,49174721817159,广告组 - 27.5.2022 15:56:48,LPL19SS0055MT0200LA3,DeepBI_0502_L55 manu 绩效词,DeepBI_0502_L55 manu 绩效词
DE,571.37,28.15,0.049268,218543274235804,L55 manu 绩效词,49174721817159,广告组 - 27.5.2022 15:56:48,LPL19SS0055MT062XLA3,DeepBI_0502_L55 manu 绩效词,DeepBI_0502_L55 manu 绩效词
DE,561.96,68.51,0.121913,224384961818476,M19 manu 2,83587434286467,M19 manu,LPM17SS0019LBLU3XLR1,DeepBI_0502_M19 manu 2,DeepBI_0502_M19 manu 2
DE,436.93,37.92,0.086787,218543274235804,L55 manu 绩效词,49174721817159,广告组 - 27.5.2022 15:56:48,LPL19SS0055MT042XLA3,DeepBI_0502_L55 manu 绩效词,DeepBI_0502_L55 manu 绩效词
DE,427.56,17.38,0.040649,224384961818476,M19 manu 2,83587434286467,M19 manu,LPM17SS0019IDBL00LR1-23V1,DeepBI_0502_M19 manu 2,DeepBI_0502_M19 manu 2
DE,412.44,49.19,0.119266,224384961818476,M19 manu 2,83587434286467,M19 manu,LPM17SS0019HGRY00SR1-22V1,DeepBI_0502_M19 manu 2,DeepBI_0502_M19 manu 2
DE,411.6,47.66,0.115792,224384961818476,M19 manu 2,83587434286467,M19 manu,LPM17SS00190BLK00LR1-22V1,DeepBI_0502_M19 manu 2,DeepBI_0502_M19 manu 2
DE,403.32,26.15,0.064837,218543274235804,L55 manu 绩效词,49174721817159,广告组 - 27.5.2022 15:56:48,LPL19SS0055MT030XLA3,DeepBI_0502_L55 manu 绩效词,DeepBI_0502_L55 manu 绩效词
DE,358.68,43.3,0.12072,224384961818476,M19 manu 2,83587434286467,M19 manu,LPM17SS00190WHIXXLR1-22V1,DeepBI_0502_M19 manu 2,DeepBI_0502_M19 manu 2
DE,324.24,23.92,0.073773,224384961818476,M19 manu 2,83587434286467,M19 manu,LPM17SS0019LBLU00SA1,DeepBI_0502_M19 manu 2,DeepBI_0502_M19 manu 2
DE,288.96,49.62,0.171719,224384961818476,M19 manu 2,83587434286467,M19 manu,LPM17SS0019BURY00SA1,DeepBI_0502_M19 manu 2,DeepBI_0502_M19 manu 2
DE,280.56,14.81,0.052787,224384961818476,M19 manu 2,83587434286467,M19 manu,LPM17SS00190WHI0XLR1-22V1,DeepBI_0502_M19 manu 2,DeepBI_0502_M19 manu 2
DE,280.18,17.72,0.063245,224384961818476,M19 manu 2,83587434286467,M19 manu,LPM17SS0019DGRN0XLR1-23V1,DeepBI_0502_M19 manu 2,DeepBI_0502_M19 manu 2
DE,255.36,27.25,0.106712,224384961818476,M19 manu 2,83587434286467,M19 manu,LPM17SS0019PINK2XLR1,DeepBI_0502_M19 manu 2,DeepBI_0502_M19 manu 2
DE,244.44,29.33,0.119989,224384961818476,M19 manu 2,83587434286467,M19 manu,LPM17SS0019DGRN0XLA1,DeepBI_0502_M19 manu 2,DeepBI_0502_M19 manu 2
DE,240.24,10.07,0.041916,224384961818476,M19 manu 2,83587434286467,M19 manu,LPM17SS00190WHI00LA1-22V1,DeepBI_0502_M19 manu 2,DeepBI_0502_M19 manu 2
DE,235.27,8.77,0.037276,218543274235804,L55 manu 绩效词,49174721817159,广告组 - 27.5.2022 15:56:48,LPL19SS0055MT0600MA3,DeepBI_0502_L55 manu 绩效词,DeepBI_0502_L55 manu 绩效词
DE,216.72,14.31,0.06603,224384961818476,M19 manu 2,83587434286467,M19 manu,LPM17SS00190BLK00SA1-22V1,DeepBI_0502_M19 manu 2,DeepBI_0502_M19 manu 2
DE,211.68,47.51,0.224443,224384961818476,M19 manu 2,83587434286467,M19 manu,LPM17SS0019DGRN00SA1,DeepBI_0502_M19 manu 2,DeepBI_0502_M19 manu 2
DE,201.66,8.66,0.042944,218543274235804,L55 manu 绩效词,49174721817159,广告组 - 27.5.2022 15:56:48,LPL19SS0055MT0300LA3,DeepBI_0502_L55 manu 绩效词,DeepBI_0502_L55 manu 绩效词
DE,168.05,6.48,0.03856,218543274235804,L55 manu 绩效词,49174721817159,广告组 - 27.5.2022 15:56:48,LPL19SS0055MT022XLA3,DeepBI_0502_L55 manu 绩效词,DeepBI_0502_L55 manu 绩效词
DE,166.32,6.58,0.039562,224384961818476,M19 manu 2,83587434286467,M19 manu,LPM17SS0019LPUR2XLR1,DeepBI_0502_M19 manu 2,DeepBI_0502_M19 manu 2
