market,sum( sales ),sum( cost ),avg_acos,campaignId,campaignName,adGroupId,adGroupName,promotedSku,new_campaignName,new_adGroupName
DE,4166.48,143.17,0.034362,281814690797461,The Shark - SD - CAT - VCPM - IMG - ASINs Att,476547690137020,Ad group - 12.6.2024 15:27:47.249,E01060,DeepBI_0507_The Shark - SD - CAT - VCPM - IMG - ASINs Att,DeepBI_0507_Ad group - 12.6.2024 15:27:47.249
DE,2463.13,111.23,0.045158,316590828366265,The Whale - SD - CT - VPCM - ASIN Att,330096110343674,Ad group - 19.7.2023 09:54:23.612,E02157,DeepBI_0507_The Whale - SD - CT - VPCM - ASIN Att,DeepBI_0507_Ad group - 19.7.2023 09:54:23.612
DE,2443.75,35.96,0.014715,199067423801977,The Shark - SD - OM Pumps - VCPM -Def,237072607250232,Ad group - 20.3.2023 11:28:23,E01060,DeepBI_0507_The Shark - SD - OM Pumps - VCPM -Def,DeepBI_0507_Ad group - 20.3.2023 11:28:23
DE,773.31,47.84,0.061864,120608890487636,The Shark - SD - VCPM - IMG CAT -similar products,228818980280491,Ad group - 1.3.2023 10:32:43,E01060,DeepBI_0507_The Shark - SD - VCPM - IMG CAT -similar products,DeepBI_0507_Ad group - 1.3.2023 10:32:43
DE,580.3,119.75,0.206359,338079111859122,SHARK - SD - IMG - VCPM - CAT - Att - Price＞100,439198381458975,Ad group - 21.5.2024 17:22:29.062,E01060,DeepBI_0507_SHARK - SD - IMG - VCPM - CAT - Att - Price＞100,DeepBI_0507_Ad group - 21.5.2024 17:22:29.062
DE,541.44,159.52,0.294622,159572410981074,The Dolphin - SD - Inflatable Boards category - VCPM,114640635629619,Ad group - 1.3.2023 09:57:23,E02227,DeepBI_0507_The Dolphin - SD - Inflatable Boards category - VCPM,DeepBI_0507_Ad group - 1.3.2023 09:57:23
DE,488.22,78.33,0.16044,432212504965404,速降盔-SD-VCPM-CAT-IMG-ATT,340502817975110,速降盔-SD-VCPM-CAT-IMG-ATT,803922-EU,DeepBI_0507_速降盔-SD-VCPM-CAT-IMG-ATT,DeepBI_0507_速降盔-SD-VCPM-CAT-IMG-ATT
DE,312.11,4.44,0.014226,439155423706569,新款Cachalot 2 - SD - 防御 - ASIN - Vcpm,363227159471246,新款Cachalot 2 - SD - 防御 - ASIN - Vcpm,804902-EU,DeepBI_0507_新款Cachalot 2 - SD - 防御 - ASIN - Vcpm,DeepBI_0507_新款Cachalot 2 - SD - 防御 - ASIN - Vcpm
DE,205.16,47.97,0.233818,1706245083658,The Dolphin - SD - AUDT - 浏览营销,247731839398539,Ad group - 23.6.2022 10:02:55,E02227,DeepBI_0507_The Dolphin - SD - AUDT - 浏览营销,DeepBI_0507_Ad group - 23.6.2022 10:02:55
DE,158.03,24.59,0.155603,104948966307494,The Dolphin - SD - PRT - ASINs,206085509038466,Ad group - 23.6.2022 10:48:58,E02227,DeepBI_0507_The Dolphin - SD - PRT - ASINs,DeepBI_0507_Ad group - 23.6.2022 10:48:58
DE,126.0,8.45,0.067063,560866826524483,女款滑雪袜 - SD - skisocken Herren category - VPCM,287925900307567,Ad group - 24.10.2023 15:53:04.241,E03284,DeepBI_0507_女款滑雪袜 - SD - skisocken Herren category - VPCM,DeepBI_0507_Ad group - 24.10.2023 15:53:04.241
DE,78.54,19.73,0.25121,224385566798570,The Shark - SD - AUDT -互补品 - CPC,184754254622662,Ad group - 20.4.2022 10:21:54,E01060,DeepBI_0507_The Shark - SD - AUDT -互补品 - CPC,DeepBI_0507_Ad group - 20.4.2022 10:21:54
DE,47.13,38.34,0.813495,179067453118400,The Dolphin - SD - VCPM - IMG AUD -VM 30D - 竞品类目 - ＞50EUR - Att,2801570432766,Ad group - 16.3.2023 19:43:23,E02227,DeepBI_0507_The Dolphin - SD - VCPM - IMG AUD -VM 30D - 竞品类目 - ＞50EUR - Att,DeepBI_0507_Ad group - 16.3.2023 19:43:23
DE,0.0,21.95,,243625109489557,The Dolphin - SD - AUDT -互补品 - CPC,178831057764772,Ad group - 23.6.2022 10:14:10,E02227,DeepBI_0507_The Dolphin - SD - AUDT -互补品 - CPC,DeepBI_0507_Ad group - 23.6.2022 10:14:10
DE,0.0,3.62,,193010982760523,女款滑雪袜 - SD - skisocken damen category - VPCM,126831014590760,广告组 - 7.12.2022 14:56:31,E03284,DeepBI_0507_女款滑雪袜 - SD - skisocken damen category - VPCM,DeepBI_0507_广告组 - 7.12.2022 14:56:31
