market,sum(sales1d),sum(cost),avg_acos,campaignId,campaignName,adGroupId,adGroupName,advertisedSku,new_campaignName,new_adGroupName
UK,94.96,0.98,0.01032,364340049505631,K01G - Auto,373879383049502,Ad group - 11/03/2024 14:18:40.920,LPK17SS0001MT152XLR4,DeepBI_0502_K01G - Auto,DeepBI_0502_K01G - Auto
UK,74.97,0.48,0.006403,364340049505631,K01G - Auto,373879383049502,Ad group - 11/03/2024 14:18:40.920,LPK17SS0001MT1500LR4,DeepBI_0502_K01G - Auto,DeepBI_0502_K01G - Auto
UK,50.98,0.91,0.01785,364340049505631,K01G - Auto,373879383049502,Ad group - 11/03/2024 14:18:40.920,LPK17SS0001MT142XSR4,DeepBI_0502_K01G - Auto,DeepBI_0502_K01G - Auto
UK,49.98,1.43,0.028611,364340049505631,K01G - Auto,373879383049502,Ad group - 11/03/2024 14:18:40.920,LPK17SS0001MT1400LR4,DeepBI_0502_K01G - Auto,DeepBI_0502_K01G - Auto
UK,49.98,1.39,0.027811,364340049505631,K01G - Auto,373879383049502,Ad group - 11/03/2024 14:18:40.920,LPK17SS0001MT150XSR4,DeepBI_0502_K01G - Auto,DeepBI_0502_K01G - Auto
UK,49.98,0.93,0.018607,364340049505631,K01G - Auto,373879383049502,Ad group - 11/03/2024 14:18:40.920,LPK17SS0001MT140XSR4,DeepBI_0502_K01G - Auto,DeepBI_0502_K01G - Auto
UK,24.99,0.91,0.036415,364340049505631,K01G - Auto,373879383049502,Ad group - 11/03/2024 14:18:40.920,LPK17SS0001MT142XLR4,DeepBI_0502_K01G - Auto,DeepBI_0502_K01G - Auto
UK,24.99,0.3,0.012005,364340049505631,K01G - Auto,373879383049502,Ad group - 11/03/2024 14:18:40.920,LPK17SS0001MT1500SR4,DeepBI_0502_K01G - Auto,DeepBI_0502_K01G - Auto
UK,24.99,0.56,0.022409,364340049505631,K01G - Auto,373879383049502,Ad group - 11/03/2024 14:18:40.920,LPK17SS0001MT1400MR4,DeepBI_0502_K01G - Auto,DeepBI_0502_K01G - Auto
UK,24.99,0.54,0.021609,364340049505631,K01G - Auto,373879383049502,Ad group - 11/03/2024 14:18:40.920,LPK17SS0001MT1500MR4,DeepBI_0502_K01G - Auto,DeepBI_0502_K01G - Auto
