market,sum( sales ),sum( cost ),avg_acos,campaignId,campaignName,adGroupId,adGroupName,promotedSku,new_campaignName,new_adGroupName
FR,172.08,5.05,0.029347,289851750658803,DeepBI_0509_m19_overstock,358257668183375,DeepBI_0509_m19,LPM17SS00190WHI0XLA1-22V1,DeepBI_0507_m19_overstock,DeepBI_0507_DeepBI_0509_m19
FR,157.11,6.1,0.038826,289851750658803,DeepBI_0509_m19_overstock,358257668183375,DeepBI_0509_m19,LPM17SS00190BLK00MA1-22V1,DeepBI_0507_m19_overstock,DeepBI_0507_DeepBI_0509_m19
FR,132.24,4.75,0.03592,289851750658803,DeepBI_0509_m19_overstock,358257668183375,DeepBI_0509_m19,LPM17SS0019BURY0XLR1-22V1,DeepBI_0507_m19_overstock,DeepBI_0507_DeepBI_0509_m19
FR,116.0,1.93,0.016638,556378851007957,DeepBI_0509_m35_overstock,380132000953706,DeepBI_0509_m35,LPM17SS00350BLK00SR4V2,DeepBI_0507_m35_overstock,DeepBI_0507_DeepBI_0509_m35
FR,98.29,0.84,0.008546,556378851007957,DeepBI_0509_m35_overstock,380132000953706,DeepBI_0509_m35,LPM17SS0035HGRY00MR4,DeepBI_0507_m35_overstock,DeepBI_0507_DeepBI_0509_m35
FR,96.4,0.1,0.001037,292723406411770,DeepBI_0509_M38 M39_overstock,447463352424095,DeepBI_0509_M38 M39,LPM17AW0038DGNB00LA1,DeepBI_0507_M38 M39_overstock,DeepBI_0507_DeepBI_0509_M38 M39
FR,93.59,3.64,0.038893,556378851007957,DeepBI_0509_m35_overstock,380132000953706,DeepBI_0509_m35,LPM17SS00350BLK00LR4,DeepBI_0507_m35_overstock,DeepBI_0507_DeepBI_0509_m35
FR,88.29,1.98,0.022426,473625740834625,DeepBI_0507_M39-SDPD-防御PJ-VCPM,390542866287650,DeepBI_0507_Ad group 1,LPM17AW0039BKWH2XLR1,DeepBI_0507_M39-SDPD-防御PJ-VCPM,DeepBI_0507_Ad group 1
FR,86.62,1.64,0.018933,473625740834625,DeepBI_0507_M39-SDPD-防御PJ-VCPM,390542866287650,DeepBI_0507_Ad group 1,LPM17AW00390BLK00LR1,DeepBI_0507_M39-SDPD-防御PJ-VCPM,DeepBI_0507_Ad group 1
FR,84.73,1.31,0.015461,473625740834625,DeepBI_0507_M39-SDPD-防御PJ-VCPM,390542866287650,DeepBI_0507_Ad group 1,LPM17AW00390BLK2XLR1,DeepBI_0507_M39-SDPD-防御PJ-VCPM,DeepBI_0507_Ad group 1
FR,83.3,1.36,0.016327,473625740834625,DeepBI_0507_M39-SDPD-防御PJ-VCPM,390542866287650,DeepBI_0507_Ad group 1,LPM17AW00390NAY0XSR1,DeepBI_0507_M39-SDPD-防御PJ-VCPM,DeepBI_0507_Ad group 1
