market,SUM(sales1d),SUM(cost),avg_acos,campaignId,campaignName,adGroupId,adGroupName,advertisedSku,new_campaignName,new_adGroupName
DE,2587.2,354.0,0.136827,275966513400828,K01 auto,95346095527742,Ad group 1,LPK17SS0001MUT3004R4V2,DeepBI_0502_K01 auto,DeepBI_0502_Ad group 1
DE,2528.4,254.93,0.100827,275966513400828,K01 auto,95346095527742,Ad group 1,LPK17SS00010WHI012R4,DeepBI_0502_K01 auto,DeepBI_0502_Ad group 1
DE,970.2,96.22,0.099175,275966513400828,K01 auto,95346095527742,Ad group 1,LPK17SS00010MUT004R4Y20V1,DeepBI_0502_K01 auto,DeepBI_0502_Ad group 1
DE,882.0,101.54,0.115125,173353123558502,K01 manu,26365897085680,广告组 - 22.7.2022 14:10:16,LPK17SS00010WHI012R4,DeepBI_0502_K01 manu,DeepBI_0502_广告组 - 22.7.2022 14:10:16
DE,588.0,37.27,0.063384,173353123558502,K01 manu,26365897085680,广告组 - 22.7.2022 14:10:16,LPK17SS00010MUT004R4Y20V1,DeepBI_0502_K01 manu,DeepBI_0502_广告组 - 22.7.2022 14:10:16
DE,554.4,34.77,0.062716,173353123558502,K01 manu,26365897085680,广告组 - 22.7.2022 14:10:16,LPK17SS0001MUT3004R4V2,DeepBI_0502_K01 manu,DeepBI_0502_广告组 - 22.7.2022 14:10:16
DE,529.2,25.34,0.047884,275966513400828,K01 auto,95346095527742,Ad group 1,LPK17SS0001MUT1008R4,DeepBI_0502_K01 auto,DeepBI_0502_Ad group 1
DE,397.32,62.38,0.157002,134687326172915,M92 M93 auto_overstock,186972197091745,Ad group 1,LPM21SS0093MT0100SR2,DeepBI_0502_M92 M93 auto_overstock,DeepBI_0502_Ad group 1
DE,387.24,133.04,0.34356,12310204722546,M38 M39 auto,159723403150565,Ad group - 21.4.2022 13:08:22,LPM17AW0039BLBU0XLR1,DeepBI_0502_M38 M39 auto,DeepBI_0502_Ad group - 21.4.2022 13:08:22
DE,333.48,88.48,0.265323,149683322242472,M92 M93 manu_overstock,221743963392489,Ad group 1,LPM21SS0093MT0100LR2,DeepBI_0502_M92 M93 manu_overstock,DeepBI_0502_Ad group 1
DE,327.6,58.64,0.178999,110747744302100,M36 auto_overstock,68500905903909,Ad group 1,LPM17SS00360NAY0XLR4,DeepBI_0502_M36 auto_overstock,DeepBI_0502_Ad group 1
DE,294.0,51.6,0.17551,275966513400828,K01 auto,95346095527742,Ad group 1,LPK17SS00010WHI010R4,DeepBI_0502_K01 auto,DeepBI_0502_Ad group 1
DE,294.0,44.82,0.152449,275966513400828,K01 auto,95346095527742,Ad group 1,LPK17SS0001MUT900LR4,DeepBI_0502_K01 auto,DeepBI_0502_Ad group 1
DE,283.99,7.33,0.025811,38326401275291,M11 M57 M24 manu,161283650464293,M11 57 24,LPM17AW0024DGRY00LR2V2,DeepBI_0502_M11 M57 M24 manu,DeepBI_0502_M11 57 24
DE,259.56,7.25,0.027932,224780133868996,M19 auto,134695443550665,M19 auto,LPM17SS0019PINK3XLR1,DeepBI_0502_M19 auto,DeepBI_0502_M19 auto
DE,257.88,16.38,0.063518,38326401275291,M11 M57 M24 manu,161283650464293,M11 57 24,LPM16AW0011DGRYXXLR2,DeepBI_0502_M11 M57 M24 manu,DeepBI_0502_M11 57 24
DE,235.28,1.25,0.005313,136915462070708,L58 auto,136425500185954,Ad group 1,LPL18SS0058OFWH2XLR2,DeepBI_0502_L58 auto,DeepBI_0502_Ad group 1
DE,235.2,9.42,0.040051,275966513400828,K01 auto,95346095527742,Ad group 1,LPK17SS00010MUT006R4Y20V1,DeepBI_0502_K01 auto,DeepBI_0502_Ad group 1
DE,231.84,13.37,0.057669,448347666425651,L02 Manu_overstock,473015560737442,L02 Manu,LPL16SS00020BLK0XLB1,DeepBI_0502_L02 Manu_overstock,DeepBI_0502_L02 Manu
DE,218.4,31.01,0.141987,448347666425651,L02 Manu_overstock,473015560737442,L02 Manu,LPL16SS00020BLK00LB1,DeepBI_0502_L02 Manu_overstock,DeepBI_0502_L02 Manu
