market,sum( sales ),sum( cost ),avg_acos,campaignId,campaignName,adGroupId,adGroupName,promotedSku,new_campaignName,new_adGroupName
FR,325.0,7.41,0.0228,473625740834625,DeepBI_0507_M39-SDPD-防御PJ-VCPM,390542866287650,DeepBI_0507_Ad group 1,LPM17AW0039BLBU0XLR1,DeepBI_0507_M39-SDPD-防御PJ-VCPM,DeepBI_0507_Ad group 1
FR,324.5,7.97,0.024561,473625740834625,DeepBI_0507_M39-SDPD-防御PJ-VCPM,390542866287650,DeepBI_0507_Ad group 1,LPM17AW0039BLRDXXLR1,DeepBI_0507_M39-SDPD-防御PJ-VCPM,DeepBI_0507_Ad group 1
FR,267.32,8.57,0.032059,289851750658803,DeepBI_0509_m19,358257668183375,DeepBI_0509_m19,LPM17SS0019IDBL00MR1,DeepBI_0507_m19,DeepBI_0507_DeepBI_0509_m19
FR,254.82,9.07,0.035594,289851750658803,DeepBI_0509_m19,358257668183375,DeepBI_0509_m19,LPM17SS00190WHI0XLA1-22V1,DeepBI_0507_m19,DeepBI_0507_DeepBI_0509_m19
FR,204.61,6.6,0.032256,289851750658803,DeepBI_0509_m19_overstock,358257668183375,DeepBI_0509_m19,LPM17SS0019BURY0XLR1-22V1,DeepBI_0507_m19_overstock,DeepBI_0507_DeepBI_0509_m19
FR,201.01,9.55,0.04751,473625740834625,DeepBI_0507_M39-SDPD-防御PJ-VCPM,390542866287650,DeepBI_0507_Ad group 1,LPM17AW0039BLBUXXLR1NEW,DeepBI_0507_M39-SDPD-防御PJ-VCPM,DeepBI_0507_Ad group 1
FR,181.25,6.6,0.036414,473625740834625,DeepBI_0507_M39-SDPD-防御PJ-VCPM,390542866287650,DeepBI_0507_Ad group 1,LPM17AW0039DGNB0XSR1,DeepBI_0507_M39-SDPD-防御PJ-VCPM,DeepBI_0507_Ad group 1
FR,176.18,0.5,0.002838,556378851007957,DeepBI_0509_m35,380132000953706,DeepBI_0509_m35,LPM17SS0035MT0300SR4,DeepBI_0507_m35,DeepBI_0507_DeepBI_0509_m35
FR,170.2,7.47,0.04389,289851750658803,DeepBI_0509_m19_overstock,358257668183375,DeepBI_0509_m19,LPM17SS00190BLK00MA1-22V1,DeepBI_0507_m19_overstock,DeepBI_0507_DeepBI_0509_m19
FR,168.79,6.1,0.03614,473625740834625,DeepBI_0507_M39-SDPD-防御PJ-VCPM,390542866287650,DeepBI_0507_Ad group 1,LPM17AW00390BLK0XSR1,DeepBI_0507_M39-SDPD-防御PJ-VCPM,DeepBI_0507_Ad group 1
FR,166.56,0.46,0.002762,559286178488901,DeepBI_0509_L01,476226681767570,DeepBI_0509_L01,LPL16SS0001STBL0XLB1,DeepBI_0507_L01,DeepBI_0507_DeepBI_0509_L01
FR,147.97,7.59,0.051294,289851750658803,DeepBI_0509_m19_overstock,358257668183375,DeepBI_0509_m19,LPM17SS00190WHI0XLA1-22V1,DeepBI_0507_m19_overstock,DeepBI_0507_DeepBI_0509_m19
FR,147.02,1.15,0.007822,556378851007957,DeepBI_0509_m35_overstock,380132000953706,DeepBI_0509_m35,LPM17SS0035HGRY00MR4,DeepBI_0507_m35_overstock,DeepBI_0507_DeepBI_0509_m35
FR,123.58,6.14,0.049684,473625740834625,DeepBI_0507_M39-SDPD-防御PJ-VCPM,390542866287650,DeepBI_0507_Ad group 1,LPM17AW0039BGFI00SR1,DeepBI_0507_M39-SDPD-防御PJ-VCPM,DeepBI_0507_Ad group 1
FR,123.05,6.29,0.051117,473625740834625,DeepBI_0507_M39-SDPD-防御PJ-VCPM,390542866287650,DeepBI_0507_Ad group 1,LPM17AW0039LBYL0XSR1,DeepBI_0507_M39-SDPD-防御PJ-VCPM,DeepBI_0507_Ad group 1
FR,119.92,7.8,0.065043,289851750658803,DeepBI_0509_m19,358257668183375,DeepBI_0509_m19,LPM17SS0019BURY0XLR1-22V1,DeepBI_0507_m19,DeepBI_0507_DeepBI_0509_m19
FR,119.6,4.48,0.037458,556378851007957,DeepBI_0509_m35_overstock,380132000953706,DeepBI_0509_m35,LPM17SS00350BLK00LR4,DeepBI_0507_m35_overstock,DeepBI_0507_DeepBI_0509_m35
